about,note
,"clear sky, no cloud and no smoke -- deep unscattered blue to the horizon"
,"sun high and shadows short -- near midday, and the lake is unruffled inshore"
,snow persists only on the highest north-facing benches of the far range
,full leaf-out in the shrub layer and no snow at the viewpoint -- early summer
,"lake water reads deep blue with no green cast, consistent with an oligotrophic, low-productivity water column"
canopy,two species carry the stand -- white fir and Jeffrey pine; the rest are scattered individuals
canopy,"one grey standing snag mid-frame, crown intact, no foliage -- recent mortality, still holding branch structure"
structure,the view corridor itself is a canopy gap; regeneration visible along its floor
understory,shrub layer is continuous on the open bench and absent under closed canopy -- a light-driven boundary
,NO FIELD -- aspect and slope of the bench
,"NO FIELD -- bearing, which is what would settle whether the far skyline is"
,the Carson Range or the Sierra crest
,"photograph by Morgan Linton (@morganlinton); site is his framing, not metadata"
